item_name,value,unit
AZ,42.0,°C
BZ,50.0,°C
CZ,51.0,°C
DZ,56.0,°C
AB,30.0,°C
CD,40.0,°C
ABCD,29.0,°C
Z-Plane-A-Current-1,7.2,A
Z-Plane-A-ISOTemp-1,40.0,°C
Z-Plane-A-Current-2,7.7,A
Z-Plane-A-ISOTemp-2,46.0,°C
Z-Plane-A-Current-3,7.8,A
Z-Plane-A-ISOTemp-3,42.0,°C
Z-Plane-A-Current-4,7.2,A
Z-Plane-A-ISOTemp-4,56.0,°C
Z-Plane-A-Current-5,7.3,A
Z-Plane-A-ISOTemp-5,43.0,°C
Z-Plane-A-Current-6,7.8,A
Z-Plane-A-ISOTemp-6,48.0,°C
Z-Plane-A-Current-7,7.8,A
Z-Plane-A-ISOTemp-7,40.0,°C
Z-Plane-A-Current-8,7.1,A
Z-Plane-A-ISOTemp-8,44.0,°C
Z-Plane-B-Current-1,7.7,A
Z-Plane-B-ISOTemp-1,46.0,°C
Z-Plane-B-Current-2,7.7,A
Z-Plane-B-ISOTemp-2,44.0,°C
Z-Plane-B-Current-3,7.9,A
Z-Plane-B-ISOTemp-3,47.0,°C
Z-Plane-B-Current-4,7.7,A
Z-Plane-B-ISOTemp-4,51.0,°C
Z-Plane-B-Current-5,7.4,A
Z-Plane-B-ISOTemp-5,48.0,°C
Z-Plane-B-Current-6,7.6,A
Z-Plane-B-ISOTemp-6,50.0,°C
Z-Plane-B-Current-7,7.4,A
Z-Plane-B-ISOTemp-7,43.0,°C
Z-Plane-B-Current-8,7.5,A
Z-Plane-B-ISOTemp-8,39.0,°C
Z-Plane-C-Current-1,7.8,A
Z-Plane-C-ISOTemp-1,39.0,°C
Z-Plane-C-Current-2,8.1,A
Z-Plane-C-ISOTemp-2,37.0,°C
Z-Plane-C-Current-3,8.0,A
Z-Plane-C-ISOTemp-3,38.0,°C
Z-Plane-C-Current-4,7.6,A
Z-Plane-C-ISOTemp-4,46.0,°C
Z-Plane-C-Current-5,7.7,A
Z-Plane-C-ISOTemp-5,54.0,°C
Z-Plane-C-Current-6,8.1,A
Z-Plane-C-ISOTemp-6,41.0,°C
Z-Plane-C-Current-7,8.1,A
Z-Plane-C-ISOTemp-7,42.0,°C
Z-Plane-C-Current-8,8.2,A
Z-Plane-C-ISOTemp-8,50.0,°C
Z-Plane-D-Current-1,8.1,A
Z-Plane-D-ISOTemp-1,53.0,°C
Z-Plane-D-Current-2,7.8,A
Z-Plane-D-ISOTemp-2,52.0,°C
Z-Plane-D-Current-3,8.2,A
Z-Plane-D-ISOTemp-3,53.0,°C
Z-Plane-D-Current-4,7.6,A
Z-Plane-D-ISOTemp-4,50.0,°C
Z-Plane-D-Current-5,7.6,A
Z-Plane-D-ISOTemp-5,53.0,°C
Z-Plane-D-Current-6,7.8,A
Z-Plane-D-ISOTemp-6,41.0,°C
Z-Plane-D-Current-7,7.7,A
Z-Plane-D-ISOTemp-7,43.0,°C
Z-Plane-D-Current-8,7.7,A
Z-Plane-D-ISOTemp-8,42.0,°C
